symbol,direction,_tickSize,qty,buyPrice,sellPrice,priceSpread,pnl,commisions,netPNL,runningNetPNL,boughtTimestamp,soldTimestamp,duration
MNQH2,Long,0.25,1,16380,16393,13,,-1.32,27.32,27.32,2022-01-03T10:01:45Z,2022-01-03T10:18:29Z,16m43s
MNQH2,Long,0.25,1,16380,16379.75,-0.25,,-1.32,0.8200000000000001,28.14,2022-01-03T10:01:45Z,2022-01-03T10:28:13Z,26m27s
MNQH2,Short,0.25,1,16387.5,16387.25,-0.25,,-1.32,0.8200000000000001,28.96,2022-01-03T11:24:56Z,2022-01-03T11:14:38Z,10m17s
MNQH2,Short,0.25,1,16394.5,16387.25,-7.25,,-1.32,-13.18,15.780000000000001,2022-01-03T11:25:15Z,2022-01-03T11:14:38Z,10m37s
MNQH2,Short,0.25,2,16434.25,16438.5,4.25,,-2.64,19.64,35.42,2022-01-03T11:57:38Z,2022-01-03T11:46:46Z,10m51s
MNQH2,Long,0.25,1,16388,16383.25,-4.75,,-1.32,-8.18,27.240000000000002,2022-01-03T12:59:26Z,2022-01-03T13:11:48Z,12m21s
MNQH2,Short,0.25,4,16458.75,16455.75,-3,,-5.28,-18.72,8.520000000000003,2022-01-03T15:25:50Z,2022-01-03T15:02:57Z,22m52s
MNQH2,Short,0.25,1,16459,16455.5,-3.5,,-1.32,-5.68,2.8400000000000034,2022-01-03T15:25:50Z,2022-01-03T15:02:57Z,22m52s
MNQH2,Long,0.25,1,16474.5,16490.75,16.25,,-1.32,33.82,36.660000000000004,2022-01-03T15:59:27Z,2022-01-03T16:13:15Z,13m47s
MNQH2,Long,0.25,1,16474.5,16491.5,17,,-1.32,35.32,71.98,2022-01-03T15:59:27Z,2022-01-03T16:16:11Z,16m44s
MNQH2,Long,0.25,1,16474.5,16474.25,-0.25,,-1.32,0.8200000000000001,72.8,2022-01-03T15:59:27Z,2022-01-03T16:23:07Z,23m39s
MNQH2,Long,0.25,1,16474.75,16474.25,-0.5,,-1.32,0.32000000000000006,73.11999999999999,2022-01-03T15:59:27Z,2022-01-03T16:23:07Z,23m39s
MNQH2,Long,0.25,1,16474.75,16474.25,-0.5,,-1.32,0.32000000000000006,73.43999999999998,2022-01-03T15:59:27Z,2022-01-03T16:23:07Z,23m39s
MNQH2,Long,0.25,5,16488.25,16488.75,0.5,,-6.6000000000000005,11.6,85.03999999999998,2022-01-03T16:33:49Z,2022-01-03T16:35:21Z,1m32s
MNQH2,Long,0.25,1,16471.25,16451.25,-20,,-1.32,-38.68,46.35999999999998,2022-01-03T16:42:00Z,2022-01-03T16:44:00Z,1m59s
MNQH2,Long,0.25,1,16471.25,16451.25,-20,,-1.32,-38.68,7.679999999999978,2022-01-03T16:42:00Z,2022-01-03T16:44:00Z,1m59s
MNQH2,Long,0.25,1,16471.25,16451.25,-20,,-1.32,-38.68,-31.00000000000002,2022-01-03T16:42:00Z,2022-01-03T16:44:00Z,1m59s
MNQH2,Long,0.25,1,16471.25,16451.25,-20,,-1.32,-38.68,-69.68000000000002,2022-01-03T16:42:00Z,2022-01-03T16:44:00Z,1m59s
MNQH2,Long,0.25,1,16471.25,16451.25,-20,,-1.32,-38.68,-108.36000000000001,2022-01-03T16:42:00Z,2022-01-03T16:44:00Z,1m59s
MNQH2,Long,0.25,1,16458.5,16478.5,20,,-1.32,41.32,-67.04000000000002,2022-01-03T16:44:14Z,2022-01-03T16:48:07Z,3m53s
MNQH2,Long,0.25,1,16458.5,16489.25,30.75,,-1.32,62.82,-4.22000000000002,2022-01-03T16:44:14Z,2022-01-03T17:01:23Z,17m8s
MNQH2,Long,0.25,1,16458.5,16489,30.5,,-1.32,62.32,58.09999999999998,2022-01-03T16:44:14Z,2022-01-03T17:03:04Z,18m49s
MNQH2,Long,0.25,1,16458.5,16490,31.5,,-1.32,64.32,122.41999999999997,2022-01-03T16:44:14Z,2022-01-03T17:03:20Z,19m6s
MNQH2,Long,0.25,1,16458.5,16490,31.5,,-1.32,64.32,186.73999999999995,2022-01-03T16:44:14Z,2022-01-03T17:03:43Z,19m28s
MNQH2,Long,0.25,3,16414.5,16397.75,-16.75,,-3.96,-96.54,90.19999999999995,2022-01-04T11:07:13Z,2022-01-04T11:11:17Z,4m3s
MNQH2,Long,0.25,2,16414.75,16397.75,-17,,-2.64,-65.36,24.839999999999947,2022-01-04T11:07:13Z,2022-01-04T11:11:17Z,4m3s
MNQH2,Short,0.25,1,16325,16345,20,,-1.32,41.32,66.15999999999994,2022-01-04T11:37:44Z,2022-01-04T11:36:24Z,1m19s
MNQH2,Short,0.25,1,16309,16345,36,,-1.32,73.32,139.47999999999993,2022-01-04T11:38:42Z,2022-01-04T11:36:24Z,2m17s
MNQH2,Short,0.25,1,16314.75,16345,30.25,,-1.32,61.82,201.29999999999993,2022-01-04T11:39:19Z,2022-01-04T11:36:24Z,2m55s
MNQH2,Short,0.25,1,16319,16345,26,,-1.32,53.32,254.61999999999992,2022-01-04T11:40:58Z,2022-01-04T11:36:24Z,4m34s
MNQH2,Short,0.25,1,16321,16344.75,23.75,,-1.32,48.82,303.43999999999994,2022-01-04T11:41:11Z,2022-01-04T11:36:24Z,4m46s
MNQH2,Long,0.25,1,16233.5,16213.5,-20,,-1.32,-38.68,264.75999999999993,2022-01-04T11:59:34Z,2022-01-04T12:00:09Z,35s
MNQH2,Long,0.25,1,16233.5,16213.5,-20,,-1.32,-38.68,226.07999999999993,2022-01-04T11:59:34Z,2022-01-04T12:00:09Z,35s
MNQH2,Long,0.25,1,16233.5,16213.5,-20,,-1.32,-38.68,187.39999999999992,2022-01-04T11:59:34Z,2022-01-04T12:00:09Z,35s
MNQH2,Long,0.25,1,16233.5,16213.5,-20,,-1.32,-38.68,148.7199999999999,2022-01-04T11:59:34Z,2022-01-04T12:00:09Z,35s
MNQH2,Long,0.25,1,16233.75,16213.5,-20.25,,-1.32,-39.18,109.5399999999999,2022-01-04T11:59:34Z,2022-01-04T12:00:09Z,35s
MNQH2,Long,0.25,1,16207.25,16187.25,-20,,-1.32,-38.68,70.8599999999999,2022-01-04T12:00:54Z,2022-01-04T12:02:50Z,1m55s
MNQH2,Long,0.25,1,16207.25,16187.25,-20,,-1.32,-38.68,32.1799999999999,2022-01-04T12:00:54Z,2022-01-04T12:02:50Z,1m55s
MNQH2,Long,0.25,1,16207.25,16187.25,-20,,-1.32,-38.68,-6.5000000000000995,2022-01-04T12:00:54Z,2022-01-04T12:02:50Z,1m55s
MNQH2,Long,0.25,1,16207.25,16187.25,-20,,-1.32,-38.68,-45.1800000000001,2022-01-04T12:00:54Z,2022-01-04T12:02:50Z,1m55s
MNQH2,Long,0.25,1,16207.25,16187.25,-20,,-1.32,-38.68,-83.8600000000001,2022-01-04T12:00:54Z,2022-01-04T12:02:50Z,1m55s
MNQH2,Long,0.25,4,16195.75,16197.75,2,,-5.28,21.28,-62.5800000000001,2022-01-04T12:05:31Z,2022-01-04T12:07:01Z,1m30s
MNQH2,Long,0.25,1,16196,16197.75,1.75,,-1.32,4.82,-57.7600000000001,2022-01-04T12:05:31Z,2022-01-04T12:07:01Z,1m30s
MNQH2,Long,0.25,1,16192.25,16204.25,12,,-1.32,25.32,-32.4400000000001,2022-01-04T12:09:44Z,2022-01-04T12:10:38Z,54s
MNQH2,Long,0.25,4,16192.25,16194.75,2.5,,-5.28,25.28,-7.160000000000096,2022-01-04T12:09:44Z,2022-01-04T12:10:56Z,1m12s
MNQH2,Long,0.25,3,16209.75,16178.75,-31,,-3.96,-182.04,-189.2000000000001,2022-01-04T12:12:46Z,2022-01-04T12:17:17Z,4m30s
MNQH2,Long,0.25,2,16210,16178.75,-31.25,,-2.64,-122.36,-311.5600000000001,2022-01-04T12:12:46Z,2022-01-04T12:17:17Z,4m30s
MNQH2,Short,0.25,2,16177,16168.75,-8.25,,-2.64,-30.36,-341.92000000000013,2022-01-04T12:24:05Z,2022-01-04T12:23:54Z,10s
MNQH2,Short,0.25,3,16177.25,16168.75,-8.5,,-3.96,-47.04,-388.96000000000015,2022-01-04T12:24:05Z,2022-01-04T12:23:54Z,10s
MNQH2,Short,0.25,3,16238.5,16198.25,-40.25,,-3.96,-237.54,-626.5000000000001,2022-01-04T12:45:46Z,2022-01-04T12:34:06Z,11m39s
MNQH2,Short,0.25,1,16238.75,16198.25,-40.5,,-1.32,-79.68,-706.1800000000001,2022-01-04T12:45:46Z,2022-01-04T12:34:06Z,11m39s
MNQH2,Short,0.25,1,16238.75,16198,-40.75,,-1.32,-80.18,-786.3600000000001,2022-01-04T12:45:46Z,2022-01-04T12:34:06Z,11m39s
NQH2,Short,0.25,1,16212.75,16242,29.25,,-4.39,589.39,-196.97000000000014,2022-01-04T13:01:07Z,2022-01-04T12:49:54Z,11m13s
NQH2,Short,0.25,1,16196.25,16196.75,0.5,,-4.39,14.39,-182.58000000000015,2022-01-04T13:03:20Z,2022-01-04T13:01:53Z,1m26s
NQH2,Short,0.25,1,16183.5,16187,3.5,,-4.39,74.39,-108.19000000000015,2022-01-04T13:06:53Z,2022-01-04T13:04:44Z,2m8s
NQH2,Short,0.25,1,16209,16188.75,-20.25,,-4.39,-400.61,-508.8000000000002,2022-01-04T13:11:22Z,2022-01-04T13:09:09Z,2m13s
NQH2,Short,0.25,1,16221.25,16210.5,-10.75,,-4.39,-210.61,-719.4100000000002,2022-01-04T13:16:03Z,2022-01-04T13:12:04Z,3m58s
NQH2,Short,0.25,1,16203.25,16229,25.75,,-4.39,519.39,-200.0200000000002,2022-01-04T13:45:15Z,2022-01-04T13:17:16Z,27m58s
NQH2,Short,0.25,1,16193.5,16207,13.5,,-4.39,274.39,74.36999999999978,2022-01-04T13:55:58Z,2022-01-04T13:46:50Z,9m8s
NQH2,Long,0.25,1,16203,16202.75,-0.25,,-4.39,-0.6100000000000003,73.75999999999978,2022-01-04T14:14:20Z,2022-01-04T14:27:28Z,13m8s
MNQH2,Short,0.25,3,16156,16155.25,-0.75,,-3.96,-0.5399999999999998,73.21999999999977,2022-01-04T14:56:38Z,2022-01-04T14:56:00Z,38s
MNQH2,Short,0.25,2,16156.25,16155.25,-1,,-2.64,-1.3599999999999999,71.85999999999977,2022-01-04T14:56:38Z,2022-01-04T14:56:00Z,38s
MNQH2,Short,0.25,4,16153,16147.5,-5.5,,-5.28,-38.72,33.13999999999977,2022-01-04T15:00:21Z,2022-01-04T14:58:35Z,1m46s
MNQH2,Short,0.25,1,16153.25,16147.5,-5.75,,-1.32,-10.18,22.959999999999773,2022-01-04T15:00:21Z,2022-01-04T14:58:35Z,1m46s
MNQH2,Short,0.25,2,16168.75,16162,-6.75,,-2.64,-24.36,-1.400000000000226,2022-01-04T15:05:52Z,2022-01-04T15:03:19Z,2m33s
MNQH2,Short,0.25,3,16168.75,16161.75,-7,,-3.96,-38.04,-39.440000000000225,2022-01-04T15:05:52Z,2022-01-04T15:03:19Z,2m33s
MNQH2,Short,0.25,1,16158.5,16163.5,5,,-1.32,11.32,-28.120000000000225,2022-01-04T15:11:31Z,2022-01-04T15:07:38Z,3m53s
MNQH2,Short,0.25,2,16158.5,16163.25,4.75,,-2.64,21.64,-6.480000000000224,2022-01-04T15:11:31Z,2022-01-04T15:07:38Z,3m53s
