symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
MNQH2,-2,0,0.25,651802069,651802109,1,16380.00,16393.00,$26.00,01/03/2022 10:01:45,01/03/2022 10:18:29,16min 43sec
MNQH2,-2,0,0.25,651802069,651802176,1,16380.00,16379.75,$(0.50),01/03/2022 10:01:45,01/03/2022 10:28:13,26min 27sec
MNQH2,-2,0,0.25,651802273,651802202,1,16387.50,16387.25,$(0.50),01/03/2022 11:24:56,01/03/2022 11:14:38,10min 17sec
MNQH2,-2,0,0.25,651802296,651802202,1,16394.50,16387.25,$(14.50),01/03/2022 11:25:15,01/03/2022 11:14:38,10min 37sec
MNQH2,-2,0,0.25,651802446,651802330,2,16434.25,16438.50,$17.00,01/03/2022 11:57:38,01/03/2022 11:46:46,10min 51sec
MNQH2,-2,0,0.25,651802467,651802501,1,16388.00,16383.25,$(9.50),01/03/2022 12:59:26,01/03/2022 13:11:48,12min 21sec
MNQH2,-2,0,0.25,651802652,651802517,4,16458.75,16455.75,$(24.00),01/03/2022 15:25:50,01/03/2022 15:02:57,22min 52sec
MNQH2,-2,0,0.25,651802660,651802523,1,16459.00,16455.50,$(7.00),01/03/2022 15:25:50,01/03/2022 15:02:57,22min 52sec
MNQH2,-2,0,0.25,651802775,651802892,1,16474.50,16490.75,$32.50,01/03/2022 15:59:27,01/03/2022 16:13:15,13min 47sec
MNQH2,-2,0,0.25,651802775,651802934,1,16474.50,16491.50,$34.00,01/03/2022 15:59:27,01/03/2022 16:16:11,16min 44sec
MNQH2,-2,0,0.25,651802775,651802946,1,16474.50,16474.25,$(0.50),01/03/2022 15:59:27,01/03/2022 16:23:07,23min 39sec
MNQH2,-2,0,0.25,651802781,651802954,1,16474.75,16474.25,$(1.00),01/03/2022 15:59:27,01/03/2022 16:23:07,23min 39sec
MNQH2,-2,0,0.25,651802781,651802964,1,16474.75,16474.25,$(1.00),01/03/2022 15:59:27,01/03/2022 16:23:07,23min 39sec
MNQH2,-2,0,0.25,653261032,653261181,5,16488.25,16488.75,$5.00,01/03/2022 16:33:49,01/03/2022 16:35:21,1min 32sec
MNQH2,-2,0,0.25,653261238,653261344,1,16471.25,16451.25,$(40.00),01/03/2022 16:42:00,01/03/2022 16:44:00,1min 59sec
MNQH2,-2,0,0.25,653261238,653261352,1,16471.25,16451.25,$(40.00),01/03/2022 16:42:00,01/03/2022 16:44:00,1min 59sec
MNQH2,-2,0,0.25,653261238,653261360,1,16471.25,16451.25,$(40.00),01/03/2022 16:42:00,01/03/2022 16:44:00,1min 59sec
MNQH2,-2,0,0.25,653261238,653261368,1,16471.25,16451.25,$(40.00),01/03/2022 16:42:00,01/03/2022 16:44:00,1min 59sec
MNQH2,-2,0,0.25,653261238,653261376,1,16471.25,16451.25,$(40.00),01/03/2022 16:42:00,01/03/2022 16:44:00,1min 59sec
MNQH2,-2,0,0.25,653261408,653261494,1,16458.50,16478.50,$40.00,01/03/2022 16:44:14,01/03/2022 16:48:07,3min 53sec
MNQH2,-2,0,0.25,653261408,653261541,1,16458.50,16489.25,$61.50,01/03/2022 16:44:14,01/03/2022 17:01:23,17min 8sec
MNQH2,-2,0,0.25,653261408,653261568,1,16458.50,16489.00,$61.00,01/03/2022 16:44:14,01/03/2022 17:03:04,18min 49sec
MNQH2,-2,0,0.25,653261408,653261585,1,16458.50,16490.00,$63.00,01/03/2022 16:44:14,01/03/2022 17:03:20,19min 6sec
MNQH2,-2,0,0.25,653261408,653261607,1,16458.50,16490.00,$63.00,01/03/2022 16:44:14,01/03/2022 17:03:43,19min 28sec
MNQH2,-2,0,0.25,653261686,653261821,3,16414.50,16397.75,$(100.50),01/04/2022 11:07:13,01/04/2022 11:11:17,4min 3sec
MNQH2,-2,0,0.25,653261712,653261821,2,16414.75,16397.75,$(68.00),01/04/2022 11:07:13,01/04/2022 11:11:17,4min 3sec
MNQH2,-2,0,0.25,653261927,653261835,1,16325.00,16345.00,$40.00,01/04/2022 11:37:44,01/04/2022 11:36:24,1min 19sec
MNQH2,-2,0,0.25,653261964,653261835,1,16309.00,16345.00,$72.00,01/04/2022 11:38:42,01/04/2022 11:36:24,2min 17sec
MNQH2,-2,0,0.25,653261981,653261835,1,16314.75,16345.00,$60.50,01/04/2022 11:39:19,01/04/2022 11:36:24,2min 55sec
MNQH2,-2,0,0.25,654249014,653261835,1,16319.00,16345.00,$52.00,01/04/2022 11:40:58,01/04/2022 11:36:24,4min 34sec
MNQH2,-2,0,0.25,654249036,653261877,1,16321.00,16344.75,$47.50,01/04/2022 11:41:11,01/04/2022 11:36:24,4min 46sec
MNQH2,-2,0,0.25,654249052,654249144,1,16233.50,16213.50,$(40.00),01/04/2022 11:59:34,01/04/2022 12:00:09,35sec
MNQH2,-2,0,0.25,654249052,654249152,1,16233.50,16213.50,$(40.00),01/04/2022 11:59:34,01/04/2022 12:00:09,35sec
MNQH2,-2,0,0.25,654249052,654249160,1,16233.50,16213.50,$(40.00),01/04/2022 11:59:34,01/04/2022 12:00:09,35sec
MNQH2,-2,0,0.25,654249052,654249168,1,16233.50,16213.50,$(40.00),01/04/2022 11:59:34,01/04/2022 12:00:09,35sec
MNQH2,-2,0,0.25,654249058,654249180,1,16233.75,16213.50,$(40.50),01/04/2022 11:59:34,01/04/2022 12:00:09,35sec
MNQH2,-2,0,0.25,654249208,654249294,1,16207.25,16187.25,$(40.00),01/04/2022 12:00:54,01/04/2022 12:02:50,1min 55sec
MNQH2,-2,0,0.25,654249208,654249303,1,16207.25,16187.25,$(40.00),01/04/2022 12:00:54,01/04/2022 12:02:50,1min 55sec
